"","sim_num","time","rs","no","n_alive","n_kind","n_realist","n_selfish","vital.space","nf","Rep","fbs","fbsChar","init"
"594","S198",2000,4,0,23,23,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"597","S199",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"600","S200",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"603","S201",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"606","S202",2000,5,0,43,43,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"609","S203",2000,5,0,38,38,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"612","S204",2000,5,0,41,41,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"615","S205",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"618","S206",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"621","S207",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"624","S208",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"627","S209",2000,5,0,35,35,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"630","S210",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"633","S211",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"636","S212",2000,5,0,39,39,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"639","S213",2000,5,0,41,41,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"642","S214",2000,5,0,43,43,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"645","S215",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"648","S216",2000,5,0,39,39,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"651","S217",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"654","S218",2000,5,0,44,44,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"657","S219",2000,5,0,36,36,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"660","S220",2000,5,0,38,38,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"663","S221",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"666","S222",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"669","S223",2000,5,0,43,43,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"672","S224",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"675","S225",2000,5,0,38,38,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"678","S226",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"681","S227",2000,5,0,41,41,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"684","S228",2000,5,0,36,36,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"687","S229",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"690","S230",2000,5,0,43,43,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"693","S231",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"696","S232",2000,5,0,38,38,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"699","S233",2000,5,0,39,39,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"702","S234",2000,5,0,41,41,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"705","S235",2000,5,0,34,34,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"708","S236",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"711","S237",2000,5,0,43,43,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"714","S238",2000,5,0,39,39,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"717","S239",2000,5,0,41,41,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"720","S240",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"723","S241",2000,5,0,36,36,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"726","S242",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"729","S243",2000,5,0,37,37,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"732","S244",2000,5,0,37,37,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"735","S245",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"738","S246",2000,5,0,45,45,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"741","S247",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"744","S248",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"747","S249",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"750","S250",2000,5,0,39,39,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"753","S251",2000,5,0,45,45,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"756","S252",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"759","S253",2000,5,0,44,44,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"762","S254",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"765","S255",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"768","S256",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"771","S257",2000,5,0,36,36,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"774","S258",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"777","S259",2000,5,0,36,36,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"780","S260",2000,5,0,41,41,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"783","S261",2000,5,0,43,43,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"786","S262",2000,5,0,40,40,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"789","S263",2000,5,0,36,36,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"792","S264",2000,5,0,37,37,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"795","S265",2000,5,0,41,41,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"798","S266",2000,5,0,36,36,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"801","S267",2000,5,0,38,38,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"804","S268",2000,5,0,45,45,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"807","S269",2000,5,0,39,39,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"810","S270",2000,5,0,37,37,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"813","S271",2000,5,0,39,39,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"816","S272",2000,5,0,43,43,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"819","S273",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"822","S274",2000,5,0,38,38,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"825","S275",2000,5,0,43,43,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"828","S276",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"831","S277",2000,5,0,41,41,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"834","S278",2000,5,0,41,41,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"837","S279",2000,5,0,43,43,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
"840","S280",2000,5,0,42,42,0,0,0.923106497500961,5,0,1.25,"(5,5)","kind"
